max_meta,daily_clusters_1,daily_clusters_2,daily_clusters_3,daily_clusters_4,daily_clusters_5,grid_size,parameter
13.20984372,3.442470299,3.08403504,9.668407836,13.96108237,17.00596552,10.07231092,0
17.65165932,3.854286579,3.322383769,7.51005959,11.16996125,9.649610541,5.889199146,1
5.051436705,3.548408746,3.368202785,6.338983136,8.954487239,11.97318728,13.60928017,2
17.47316849,3.904851902,3.962126584,11.42040592,8.859504975,13.27483578,7.732114538,3
9.556148021,3.353478917,3.581774054,7.957002506,13.79317312,13.43725403,8.139024949,4
5.576912653,3.336181168,3.401405539,9.582184301,10.46192848,10.50104683,8.981582859,5
14.75689408,3.678776677,3.686719837,6.451341056,11.10884048,10.4312981,5.457770821,6
6.618867312,3.666556095,3.292640067,11.55302011,9.392001564,16.73717247,6.169294163,7
14.21759079,3.810041988,3.164557697,8.954741246,12.75318117,17.71626963,12.25484266,8
13.94692011,3.250570398,3.462993241,10.08972742,13.68345354,17.55924853,13.31448578,9
13.57359464,3.21653396,3.092500956,9.925531277,7.159316022,15.51485775,12.59005667,10
15.93526361,3.494985615,3.423657163,9.648699132,13.21115093,14.23570211,11.39545494,11
8.060765373,3.896069437,3.660374658,7.321854813,9.060359668,10.0935457,11.4781086,12
10.63163267,3.805521432,3.258278458,8.685424066,10.04149514,13.94715883,12.3663851,13
8.622998227,3.432497772,3.055257472,11.6797975,13.59737087,15.69517017,14.97399861,14
14.96154789,3.030097373,3.039870614,8.820717648,13.55464946,9.979100742,7.151564935,15
9.811282875,3.418229406,3.39951938,11.78772613,8.282998138,10.68628814,6.479448548,16
18.69995053,3.888206354,3.797328754,11.46600584,10.34263431,9.479017673,5.144717428,17
12.38588581,3.516324623,3.710262835,9.266902254,11.83050861,14.049309,6.821581097,18
15.41886966,3.024866838,3.378768987,6.741080398,7.845625926,11.52100489,9.181105274,19
12.77478561,3.267109686,3.809163563,8.053881403,7.359281788,15.12285454,7.891966118,20
14.36239839,3.976195188,3.706730367,6.22619898,8.075994794,9.003409583,8.20976475,21
16.56004124,3.132642644,3.834214332,11.99099314,9.543794834,12.86770753,9.460926353,22
13.83076176,3.92698141,3.693454398,11.030612,13.76729641,11.90744444,14.51911055,23
11.44570262,3.649544478,3.470961949,11.14213212,7.282997914,14.85505918,7.538669827,24
8.188775376,3.365700478,3.485985443,9.01719222,7.516596868,11.0927785,12.4186068,25
11.49717077,3.826991371,3.886343096,6.86168205,11.29695537,12.10516472,14.6899596,26
19.95219937,3.630180607,3.184991118,11.87550469,8.711844866,13.6447648,8.870399924,27
5.253297011,3.29661507,3.385596851,10.40573883,7.697923618,10.31196625,10.80452688,28
16.28621719,3.464548576,3.767275999,7.482259295,12.54207126,13.14450738,12.8809709,29
12.02787947,3.765328956,3.174859938,6.663094087,9.76627046,12.52391033,10.69260183,30
8.342105145,3.308682171,3.122124656,6.483069706,9.99289887,14.77312448,6.3765552,31
10.90817972,3.602668925,3.318852065,10.32553246,12.10304557,14.75077393,5.242459961,32
11.84492893,3.507171823,3.592928516,10.92203157,11.2347401,12.31545053,6.735043812,33
6.368045014,3.99152549,3.306084536,7.171502505,8.34076275,16.19635538,10.57896229,34
6.193866809,3.983070799,3.543290651,10.17040146,10.90158457,11.49467908,11.02695582,35
15.24937831,3.599606027,3.105593499,6.830894281,7.125935695,16.84932588,10.38551382,36
5.958253284,3.589033901,3.627064541,8.616396219,13.46448836,9.609743841,9.946966517,37
17.26297394,3.188657396,3.570845333,10.52767053,12.62541259,13.00463517,5.72489999,38
11.67441973,3.527989846,3.495028782,10.7991799,11.02753391,15.08340933,11.91009845,39
7.205134692,3.1645831,3.611363718,9.978869094,7.272181223,10.94716763,13.12583613,40
16.94417083,3.079173003,3.137833186,10.56056877,9.002435731,10.20673434,7.436384476,41
13.02495718,3.696496729,3.33790075,9.387579572,10.95071438,17.51617755,7.308352531,42
10.46468621,3.152806209,3.513847451,7.089146757,7.804471612,16.45005175,6.049336583,43
10.17906705,3.68960277,3.905359232,9.34411593,8.242266686,14.65347222,6.921659494,44
19.05221452,3.323366077,3.77357537,11.38844076,13.27197973,13.51914274,12.77114409,45
15.13499343,3.877066894,3.216424646,6.573046978,10.192948,11.25054314,6.275161769,46
6.801954721,3.725409468,3.958333684,10.71750404,10.77704059,14.34660492,8.416791464,47
8.555129905,3.17937148,3.198088093,7.984679651,13.86581151,17.27535793,14.74905845,48
12.5102526,3.019464296,3.918179189,7.699329754,7.622790284,16.30291611,13.84082667,49
9.696870275,3.387659419,3.009332546,6.648630301,7.063265673,10.82444339,13.50563562,50
18.04775016,3.755546497,3.286066462,11.07893369,10.79761099,16.63346848,9.78923042,51
6.264362053,3.655597437,3.530869834,6.089060515,8.796859492,9.795299625,10.93008255,52
5.643683089,3.402063887,3.351784136,9.102239336,13.31885051,16.28354648,13.06233145,53
19.78320594,3.610358171,3.141667145,6.242135272,9.450401262,11.22449259,14.38547453,54
12.09577931,3.569614532,3.414991911,7.261712772,9.89276667,10.71544196,14.84591019,55
18.58080779,3.620222203,3.923295932,8.770867602,13.38973394,9.120262344,11.66758047,56
9.454809753,3.197144206,3.737891828,9.461831929,12.83540269,15.39530186,13.23316561,57
9.969897356,3.935291797,3.720554729,6.168996815,11.59602681,13.71067689,9.076548842,58
14.50297252,3.201266551,3.890761532,11.16772227,9.595962756,15.99379583,8.07181623,59
9.147004839,3.095995413,3.998175945,7.244838967,9.80763541,11.82850708,6.56916949,60
13.3516731,3.959143217,3.984070286,8.148971709,11.40701785,17.86279188,10.77402456,61
14.09396213,3.237524209,3.755346439,7.812353499,11.81051318,17.39886878,6.683360037,62
17.40416478,3.346972359,3.634075381,9.12314226,10.36871422,17.15384569,11.21950084,63
7.848403679,3.243933032,3.43838605,6.403187293,12.33267939,9.331652374,14.46550801,64
11.1750264,3.946922048,3.782330108,6.039641796,12.22128641,10.04934073,13.90098965,65
19.31648707,3.717987982,3.245000359,9.783747213,12.67038042,10.55979934,14.12052895,66
7.043730376,3.835686399,3.869517339,10.22486837,11.64260898,15.25153271,9.802456666,67
7.456416589,3.532445973,3.843440014,11.88666196,10.65884078,11.06069775,11.51840845,68
5.41314297,3.087437651,3.501315886,7.064590068,8.640506535,11.42032392,9.22557451,69
14.70408767,3.113821586,3.564249246,6.923194928,8.405116054,17.79110317,10.43622786,70
16.2166989,3.799215834,3.948977424,10.45702381,12.25433333,17.34325358,12.60968819,71
10.29069398,3.396770227,3.11659984,7.405852828,9.321480764,13.78870116,11.83365762,72
12.21245328,3.229191229,3.873135424,7.902772666,12.12117681,14.50307756,14.03200967,73
7.314691809,3.144494462,3.67167495,10.63446604,8.540222896,11.66299853,14.2337624,74
16.46995105,3.058032969,3.855412558,9.189894742,12.46099775,12.39055429,5.646347078,75
7.658067031,3.478119285,3.44934267,7.781528943,8.025315308,15.31693496,13.79580226,76
